282,3586800,3587800
283,3586000,3587000
284,36831000,36832000
285,36832000,36833000
286,36829700,36830700
287,37912300,37913300
288,37911500,37912500
289,37913600,37914600
290,40116800,40117800
291,40114100,40115100
292,40178600,40179600
293,40177900,40178900
294,40175700,40176700
295,40219400,40220400
296,40214300,40215300
297,40215500,40216500
298,42292800,42293800
299,42293700,42294700
300,42291700,42292700
301,42851500,42852500
302,47643700,47644700
303,47647800,47648800
304,47646800,47647800
305,5100300,5101300
306,5103900,5104900
307,5101400,5102400
308,5102400,5103400
309,56394600,56395600
310,62225500,62226500
311,6569400,6570400
312,6569400,6570400
313,6569400,6570400
314,66773600,66774600
315,66770400,66771400
316,6817400,6818400
317,6817400,6818400
318,6817400,6818400
319,70556600,70557600
320,70550700,70551700
321,70554300,70555300
322,70552900,70553900
323,70555500,70556500
324,72739400,72740400
325,73778200,73779200
326,73776200,73777200
327,7418400,7419400
328,7418400,7419400
329,7417600,7418600
330,7417600,7418600
331,77779600,77780600
332,77774200,77775200
333,77778200,77779200
334,77776900,77777900
335,77778800,77779800
336,78191400,78192400
337,10951700,10952700
338,28840600,28841600
339,28842200,28843200
340,28848400,28849400
341,28849500,28850500
342,85410600,85411600
343,85413000,85414000
344,67861600,67862600
345,67863000,67864000
346,67860800,67861800
347,67862200,67863200
348,71863900,71864900
349,74720400,74721400
350,74717300,74718300
351,9069200,9070200
352,9061300,9062300
353,9068300,9069300
354,9065900,9066900
355,9062800,9063800
356,9070000,9071000
357,9069200,9070200
358,9971200,9972200
359,10694100,10695100
360,1107400,1108400
361,1109400,1110400
362,17504400,17505400
363,17505300,17506300
364,18384300,18385300
365,19170300,19171300
366,19637600,19638600
367,19635000,19636000
368,3547800,3548800
369,3545000,3546000
370,3542700,3543700
371,3547800,3548800
372,3545000,3546000
373,35464900,35465900
374,39045700,39046700
375,39045700,39046700
376,39041800,39042800
377,39041800,39042800
378,39048200,39049200
379,39048200,39049200
380,39047400,39048400
381,39047400,39048400
382,39044700,39045700
383,39044700,39045700
384,39612700,39613700
385,39614800,39615800
386,42629100,42630100
387,42634500,42635500
388,42632300,42633300
389,42633500,42634500
390,42631100,42632100
391,42954000,42955000
392,44252600,44253600
393,44251800,44252800
394,44253200,44254200
395,4575000,4576000
396,4575900,4576900
397,45932600,45933600
398,45944600,45945600
399,45943800,45944800
400,46026600,46027600
401,46025200,46026200
402,46027500,46028500
403,47114100,47115100
404,47119000,47120000
405,47116600,47117600
406,47583900,47584900
407,4869400,4870400
408,49298800,49299800
409,49995300,49996300
410,50091800,50092800
411,6516200,6517200
412,6516200,6517200
413,6518800,6519800
414,6518800,6519800
415,6515300,6516300
416,6515300,6516300
417,6517700,6518700
418,6517700,6518700
419,9688500,9689500
420,9684600,9685600
421,9685800,9686800
422,9687500,9688500
423,9689400,9690400
424,923600,924600
425,921100,922100
426,919600,920600
427,30149000,30150000
428,30142500,30143500
429,30146400,30147400
430,30139300,30140300
431,30145200,30146200
432,30440000,30441000
433,33126100,33127100
434,33124000,33125000
435,35824000,35825000
436,35827200,35828200
437,35899500,35900500
438,35898600,35899600
439,35897600,35898600
440,36017100,36018100
441,36686000,36687000
442,36689000,36690000
443,36685400,36686400
444,37274500,37275500
445,42843700,42844700
446,42845000,42846000
447,45183300,45184300
448,45186700,45187700
449,45182300,45183300
450,45180500,45181500
451,45188100,45189100
